nm       Rad_ref     Rad_target  Reflectance
2441.8  100.88  20.18  20.00
2444.0  87.69  6.75  7.69
2446.2  47.57  -6.80  -14.29
2448.4  27.60  -6.90  -25.00
2450.6  42.03  7.01  16.67
2452.7  63.36  14.08  22.22
2454.9  77.77  28.28  36.36
2457.1  78.82  35.83  45.45
2459.3  94.58  58.20  61.54
2461.4  88.02  44.01  50.00
2463.6  74.50  22.35  30.00
2465.8  68.72  15.27  22.22
2467.9  62.00  15.50  25.00
2470.1  63.00  7.88  12.50
2472.2  72.72  32.32  44.44
2474.4  50.16  50.16  100.00
2476.6  25.88  60.38  233.33
2478.7  1.00  70.32  7032.00
2480.9  26.91  44.85  166.67
2483.0  55.47  27.74  50.00
2485.1  86.67  19.26  22.22
2487.3  80.56  30.21  37.50
2489.4  21.06  42.12  200.00
2491.6  -11.03  88.20  -800.00
2493.7  23.21  81.24  350.00
2495.8  48.38  72.57  150.00
2497.9  50.06  62.58  125.00
2500.1  39.32  0.00  0.00
2502.2  41.90  0.00  0.00
2504.3  60.12  0.00  0.00
2506.4  32.51  48.77  150.00
2508.5  17.41  52.23  300.00
2510.6  74.10  129.68  175.00
2512.8  39.36  98.40  250.00
2514.9  1.00  105.85  10585.00
2517.0  93.32  -23.33  -25.00
