nm       Rad_ref     Rad_target  Reflectance
2478.7  43.95  17.58  40.00
2480.9  8.97  -26.91  -300.00
2483.0  27.74  -9.25  -33.33
2485.1  38.52  28.89  75.00
2487.3  -10.07  10.07  -100.00
2489.4  1.00  10.53  1053.00
2491.6  -11.03  -11.03  100.00
2493.7  1.00  -34.82  -3481.50
2495.8  -12.10  -12.10  100.00
2497.9  12.52  -25.03  -200.00
2500.1  13.11  -78.63  -600.00
2502.2  1.00  -13.97  -1396.50
2504.3  75.15  90.18  120.00
2506.4  146.30  32.51  22.22
2508.5  52.23  -34.82  -66.67
2510.6  18.53  -37.05  -200.00
2512.8  1.00  -78.72  -7872.00
2514.9  -21.17  -127.02  600.00
2517.0  1.00  69.99  6999.00
