nm       Rad_ref     Rad_target  Reflectance
1697.0   242.93      18.45       7.59
1700.6   235.72      21.43       9.09
1704.2   224.41      18.20       8.11
1707.8   213.27      18.02       8.45
1711.4   210.09      15.01       7.14
1715.1   204.33      14.81       7.25
1718.7   195.28      17.75       9.09
1722.3   183.29      20.69       11.29
1725.9   177.68      14.81       8.34
1729.5   169.15      17.81       10.53
1733.1   160.58      17.84       11.11
1736.7   146.27      17.91       12.24
1740.3   137.14      14.91       10.87
1743.9   134.49      14.94       11.11
1747.6   125.27      11.93       9.52
1751.2   115.29      14.78       12.82
1754.8   109.06      14.74       13.52
1758.3   99.92       11.76       11.77
1761.9   93.84       11.73       12.50
1765.5   82.11       11.73       14.29
1769.1   70.86       8.86        12.50
1772.7   62.11       11.83       19.05
1776.3   53.91       11.98       22.22
1779.9   48.30       9.06        18.76
1783.5   42.49       12.14       28.57
1787.1   36.99       9.25        25.01
1790.7   34.13       6.21        18.20
1794.2   31.48       9.44        29.99
1797.8   25.55       12.78       50.02
1801.4   25.44       9.54        37.50
1805.0   19.04       12.70       66.70
1808.6   15.79       12.63       79.99
1812.1   21.53       6.15        28.56
1815.7   20.37       11.64       57.14
1819.3   16.34       2.72        16.65
1822.8   15.67       7.83        49.97
1826.4   18.16       5.19        28.58
1830.0   16.07       10.71       66.65
1833.5   16.92       11.28       66.67
1837.1   20.75       8.89        42.84
1840.7   18.65       12.44       66.70
1844.2   22.53       12.88       57.17
1847.8   26.59       9.97        37.50
1851.3   23.84       6.81        28.57
1854.9   20.90       10.45       50.00
1858.4   21.37       10.68       49.98
1862.0   21.87       14.58       66.67
1865.5   26.34       7.53        28.59
1869.1   19.39       11.64       60.03
1872.6   19.74       7.90        40.02
1876.2   19.91       11.94       59.97
1879.7   20.12       12.07       59.99
1883.2   24.80       8.27        33.35
1886.8   26.06       13.03       50.00
1890.3   22.92       13.75       59.99
1893.8   29.25       9.75        33.33
1897.4   26.66       21.33       80.01
1900.9   34.94       11.65       33.34
1904.4   38.07       12.69       33.33
1908.0   41.15       20.58       50.01
1911.5   44.07       14.69       33.33
1915.0   39.59       23.76       60.02
1895.4   -18.45      -147.60     800.00
1898.2   -47.57      -15.86      33.34
1900.9   -96.53      -13.79      14.29
1903.7   -11.94      -11.94      100.00
1906.5   20.85       -41.70      -200.00
1909.2   -18.72      -37.44      200.00
1912.0   34.44       -17.22      -50.00
1914.8   56.35       -24.15      -42.86
1917.5   -22.62      -7.54       33.33
1920.2   -21.21      7.07        -33.33
1923.0   20.07       -13.38      -66.67
1925.8   6.39        -12.77      -199.84
1928.5   1.00        30.58       3058.00
1931.2   17.45       23.26       133.30
1934.0   33.00       5.50        16.67
1936.7   15.50       -5.17       -33.35
1939.4   4.83        0.00        0.00
1942.2   4.56        4.56        100.00
1944.9   -8.70       -4.35       50.00
1947.6   -16.78      0.00        0.00
1950.3   -4.06       8.12        -200.00
1953.1   -3.94       0.00        0.00
1955.8   -3.85       7.69        -199.74
1958.5   3.78        3.78        100.00
1961.2   1.00        7.52        752.00
1963.9   -7.59       22.77       -300.00
1966.6   1.00        15.36       1536.00
1969.3   3.83        3.83        100.00
1972.0   11.36       3.79        33.36
1974.7   18.88       11.33       60.01
1977.4   26.57       15.18       57.13
1980.1   19.05       19.05       100.00
1982.8   3.81        11.43       300.00
1985.5   11.39       0.00        0.00
1988.2   7.57        3.79        50.07
1990.8   11.42       0.00        0.00
1993.5   -7.67       3.84        -50.07
1996.2   1.00        0.00        0.00
1998.9   15.40       0.00        0.00
2001.6   -3.86       15.44       -400.00
2004.2   -11.67      15.56       -133.33
2006.9   3.92        -3.92       -100.00
2009.6   7.86        -7.86       -100.00
2012.2   7.84        3.92        50.00
2014.9   11.76       19.60       166.67
2017.5   3.94        11.82       300.00
2020.2   -11.91      3.97        -33.33
2022.8   -4.00       4.00        -100.00
2025.5   8.00        8.00        100.00
2028.1   7.98        11.97       150.00
2030.8   16.00       8.00        50.00
2033.4   20.10       4.02        20.00
2036.1   12.09       12.09       100.00
2038.7   -4.03       16.12       -400.00
2041.3   4.04        4.04        100.00
2043.9   8.15        -4.08       -50.06
2046.6   -4.12       12.36       -300.00
2049.2   16.46       20.58       125.03
2051.8   20.55       16.44       80.00
2054.4   -12.36      4.12        -33.33
2057.1   4.11        4.11        100.00
2059.7   16.48       12.36       75.00
2062.3   1.00        4.15        415.00
2064.9   4.15        4.15        100.00
2067.5   -4.14       4.14        -100.00
2070.1   1.00        -8.25       -825.00
2072.7   1.00        0.00        0.00
2075.3   1.00        8.24        824.00
2077.9   4.18        0.00        0.00
2080.5   4.22        -8.43       -199.76
2083.1   12.56       0.00        0.00
2085.7   12.47       8.31        66.64
2088.2   20.70       8.28        40.00
2090.8   4.15        -4.15       -100.00
2093.4   -8.31       -4.16       50.06
2096.0   12.36       4.12        33.33
2098.6   20.43       16.34       79.98
2101.1   1.00        8.13        813.00
2103.7   1.00        0.00        0.00
2106.3   -4.05       -8.10       200.00
2108.8   4.04        0.00        0.00
2111.4   1.00        12.15       1215.00
2114.0   1.00        12.15       1215.00
2116.5   8.08        12.12       150.00
2119.1   4.04        16.16       400.00
2121.6   -8.04       4.02        -50.00
2124.2   -4.00       15.98       -399.50
2126.7   1.00        15.88       1588.00
2129.2   3.95        15.78       399.49
2131.8   7.90        15.80       200.00
2134.3   3.97        3.97        100.00
2136.9   3.97        7.93        199.75
2139.4   1.00        0.00        0.00
2141.9   1.00        3.94        394.00
2144.5   3.93        11.79       300.00
2147.0   11.79       7.86        66.67
2149.5   7.87        15.74       200.00
2152.0   15.78       15.78       100.00
2154.5   11.79       11.79       100.00
2157.1   7.85        15.70       200.00
2159.6   7.86        11.79       150.00
2162.1   11.84       7.89        66.64
2164.6   7.90        7.90        100.00
2167.1   7.87        3.94        50.06
2169.6   7.84        0.00        0.00
2172.1   7.87        3.94        50.06
2174.6   3.97        15.88       400.00
2177.1   15.92       7.96        50.00
2179.6   27.93       -3.99       -14.29
2182.1   20.10       4.02        20.00
2184.5   -4.07       12.21       -300.00
2187.0   -12.32      8.21        -66.64
2189.5   -8.17       -4.09       50.06
2192.0   1.00        -4.08       -408.00
2194.4   -4.11       -4.11       100.00
2196.9   8.35        -16.70      -200.00
2199.4   25.50       -29.75      -116.67
2201.9   25.86       -17.24      -66.67
2204.3   21.73       0.00        0.00
2206.8   26.25       0.00        0.00
2209.2   22.28       0.00        0.00
2211.7   18.00       0.00        0.00
2214.1   8.96        4.48        50.00
2216.6   8.93        13.40       150.06
2219.0   1.00        8.93        893.00
