nm       Rad_ref     Rad_target  Reflectance
2377.1   4874.75     2167.83     44.47
2379.3   4842.08     2141.25     44.22
2381.6   4816.50     2109.00     43.79
2383.9   4803.84     2113.92     44.00
2386.1   4810.44     2156.81     44.84
2388.4   4796.70     2153.50     44.90
2390.6   4783.61     2118.80     44.29
2392.9   4780.00     2097.23     43.88
2395.1   4775.76     2086.38     43.69
2397.4   4756.73     2089.80     43.93
2399.6   4758.47     2105.41     44.25
2401.9   4743.20     2088.24     44.03
2404.1   4694.90     2055.20     43.78
2406.4   4668.30     2060.10     44.13
2408.6   4667.18     2037.96     43.67
2410.8   4657.19     1998.63     42.91
2413.1   4647.20     1990.76     42.84
2415.3   4622.58     1989.23     43.03
2417.5   4600.96     1971.84     42.86
2419.7   4599.99     1949.79     42.39
2421.9   4565.65     1936.75     42.42
2424.2   4534.74     1940.72     42.80
2426.4   4524.96     1904.23     42.08
2428.6   4529.51     1874.73     41.39
2430.8   4521.66     1856.40     41.06
2433.0   4505.17     1831.26     40.65
2435.2   4475.52     1798.20     40.18
2437.4   4435.52     1770.20     39.91
2439.6   4398.62     1734.01     39.42
2441.8   4391.43     1701.43     38.74
2444.0   4370.76     1679.51     38.43
2446.2   4369.19     1678.37     38.41
2448.4   4367.70     1662.90     38.07
2450.6   4336.10     1639.17     37.80
2452.7   4315.52     1576.96     36.54
2454.9   4326.84     1527.12     35.29
2457.1   4299.00     1518.98     35.33
2459.3   4270.43     1498.65     35.09
2461.4   4261.64     1489.01     34.94
2463.6   4276.30     1482.55     34.67
2465.8   4260.33     1450.65     34.05
2467.9   4231.50     1402.75     33.15
2470.1   4205.25     1393.88     33.15
2472.2   4169.28     1365.52     32.75
2474.4   4163.28     1320.88     31.73
2476.6   4148.63     1293.75     31.18
2478.7   4131.30     1318.50     31.91
2480.9   4135.17     1318.59     31.89
2483.0   4141.76     1294.30     31.25
2485.1   4121.64     1290.42     31.31
2487.3   4108.56     1278.89     31.13
2489.4   4138.29     1253.07     30.28
2491.6   4156.43     1289.93     31.03
2493.7   4073.36     1346.18     33.05
2495.8   3979.26     1330.45     33.43
2497.9   3942.23     1301.56     33.02
2500.1   3957.71     1258.08     31.79
2502.2   4007.96     1214.96     30.31
2504.3   3967.92     1307.61     32.95
2506.4   3966.22     1365.42     34.43
2508.5   3952.07     1305.75     33.04
2510.6   3945.83     1259.70     31.92
2512.8   4014.72     1279.20     31.86
2514.9   4043.47     1270.20     31.41
2517.0   4059.42     1236.49     30.46
